"Authorization","Autorización"
"Authorization Waiting from Ogone","Esperando autorización de Ogone"
"Authorization not known: A technical problem arose during authorization process, giving unpredictable result","Autorización desconocida: Un problema técnico surgió durante el proceso de autorización, devolviendo un resultado impredecible"
"Background Color of Ogone Template","Color de Fondo de Plantilla Ogone"
"Button Background Color of the Ogone Template","Color de Fondo de Botón de la Plantilla Ogone"
"Button Text Color of the Ogone Template","Color de Texto de Botón de la Plantilla Ogone"
"Can\'t detect Ogone payment action","No se pudo detectar acción de pago Ogone"
"Cancelled Ogone","Ogone Cancelado"
"Debug","Depurar"
"Declined Ogone","Ogone Declinado"
"Declined Order on Ogone side.","Declined Order on Ogone side."
"Direct Sale","Direct Sale"
"E.g: ""Verdana"".","Por ejemplo: ""Verdana""."
"E.g: ""black"".","Por ejemplo: ""negro""."
"E.g: ""white"".","Por ejemplo: ""blanco""."
"Enabled","Habilitado"
"Enabling this feature needs adjusting ""Technical information > Global security parameters"" on merchant administration.","Enabling this feature needs adjusting ""Technical information > Global security parameters"" on merchant administration."
"Exception not defined","Exception not defined"
"Font Family of the Ogone Template","Font Family of the Ogone Template"
"For production, replace ""test"" with ""prod"". Example: https://secure.ogone.com/ncol/prod/orderstandard.asp","For production, replace ""test"" with ""prod"". Example: https://secure.ogone.com/ncol/prod/orderstandard.asp"
"Gateway URL","Gateway URL"
"Hash All Parameters","Hash All Parameters"
"Hashing Algorithm","Hashing Algorithm"
"Horizontally grouped logo with group name on left","Horizontally grouped logo with group name on left"
"Horizontally grouped logo with no group name","Horizontally grouped logo with no group name"
"If you choose ""No Operation"", Ogone will use default payment procedure setup in Ogone configuration.","If you choose ""No Operation"", Ogone will use default payment procedure setup in Ogone configuration."
"If you choose ""Ogone Template"", you will need to fill in all the following fields.","If you choose ""Ogone Template"", you will need to fill in all the following fields."
"Layout of Payment Methods","Layout of Payment Methods"
"Logo of the Ogone Template","Logo of the Ogone Template"
"Magento","Magento"
"Ogone","Ogone"
"Ogone Default Operation","Ogone Default Operation"
"Order can\'t save","Order can\'t save"
"PSPID","PSPID"
"Payment Action","Acción de pago"
"Payment Template","Plantilla de pago"
"Payment transaction has been declined.","La operación de pago ha sido declinada."
"Payment uncertain: A technical problem arose during payment process, giving unpredictable result","Payment uncertain: A technical problem arose during payment process, giving unpredictable result"
"Pending Ogone","Pending Ogone"
"Please, wait a moment. This page will transfer your data to Ogone payment gateway in a few seconds.","Please, wait a moment. This page will transfer your data to Ogone payment gateway in a few seconds."
"Processed Ogone Payment","Processed Ogone Payment"
"Processed by Ogone","Processed by Ogone"
"Processing Ogone Payment","Processing Ogone Payment"
"SHA-IN Pass Phrase","SHA-IN Pass Phrase"
"SHA-OUT Pass Phrase","SHA-OUT Pass Phrase"
"Start Ogone Processing","Start Ogone Processing"
"Table Background Color of the Ogone Template","Table Background Color of the Ogone Template"
"Table Text Color of the Ogone Template","Table Text Color of the Ogone Template"
"Text Color of the Ogone Template","Text Color of the Ogone Template"
"The hash is not valid","The hash is not valid"
"The order cannot be canceled for a system reason.","The order cannot be canceled for a system reason."
"The order cannot be saved for a system reason.","The order cannot be saved for a system reason."
"The order cannot be saved.","The order cannot be saved."
"The order is not valid","The order is not valid"
"The order was canceled on ogone side.","The order was canceled on ogone side."
"Title","Título"
"Title of the Ogone Template","Title of the Ogone Template"
"To hash <strong>all parameters</strong>, select the following options in the ""Global security parameters"" fieldset: <ul><li>Each parameter followed by the pass phrase.</li><li>""Hash algorithm"" same as ""Hashing Algorithm"" below</li><li>UTF-8</li></ul>","To hash <strong>all parameters</strong>, select the following options in the ""Global security parameters"" fieldset: <ul><li>Each parameter followed by the pass phrase.</li><li>""Hash algorithm"" same as ""Hashing Algorithm"" below</li><li>UTF-8</li></ul>"
"URL/filename of the logo.<br />The URL must be absolute and stored on a secure server.","URL/filename of the logo.<br />The URL must be absolute and stored on a secure server."
"Unknown exception","Excepción desconocida"
"Use in posting data from Magento to Ogone.<br/>Use in data checking by Ogone before the payment.","Use in posting data from Magento to Ogone.<br/>Use in data checking by Ogone before the payment."
"Use in posting data from Ogone to Magento.<br/>Use in feedback data checking by Magento.","Use in posting data from Ogone to Magento.<br/>Use in feedback data checking by Magento."
"Verical list","Verical list"
"Waiting Authorization","Waiting Authorization"
"You can arrange the layout/list of the payment methods on Ogone payment page.","You can arrange the layout/list of the payment methods on Ogone payment page."
"You will be redirected to Ogone website when you place an order.","You will be redirected to Ogone website when you place an order."
