"A block identifier with the same properties already exists in the selected store.","Ein Block-Bezeichner mit denselben Eigenschaften existiert bereits in dem ausgewählten Laden."
"A directory with the same name already exists. Please try another folder name.","Ein Verzeichnis mit dem gleichen Namen existiert bereits. Bitte versuchen Sie einen anderen Verzeichnisnamen."
"A page URL key for specified store already exists.","Ein Seiten URL-Key für den angegebenen Laden existiert bereits."
"Action","Aktion"
"Add New Block","Neuer Block"
"Add New Page","Neue Seite"
"All Countries","Alle Länder"
"An error occurred while saving the page.","Fehler beim Speichern der Seite."
"Anchor Custom Text","Anker eigener Text"
"Anchor Custom Title","Anker eigener Titel"
"Are you sure you want to delete current folder?","Soll das aktuelle Verzeichnis wirklich gelöscht werden?"
"Are you sure you want to delete the selected file?","Soll die ausgewählte Datei wirklich gelöscht werden?"
"Block","Block"
"Block Information","Blockinformation"
"Block Title","Blocktitel"
"CMS","CMS"
"CMS Content Wrapper","CMS Content Wrapper"
"CMS Home Page","CMS Startseite"
"CMS No Cookies Page","Seite bei deaktivierten Cookies"
"CMS No Route Page","CMS keine Route-Seite (Fehler 404)"
"CMS No-Route Page","CMS keine Route-Seite (Fehler 404)"
"CMS Page","CMS-Seite"
"CMS Page Link","CMS-Seitenlink"
"CMS Page Link Block Template","CMS-Seitenlink - Blockvorlage"
"CMS Page Link Inline Template","CMS-Seitenlink - Inlinevorlage"
"CMS Pages (All)","CMS-Seiten (Alle)"
"CMS Static Block","Statischer Block"
"CMS Static Block Default Template","Statischer Block - Standardvorlage"
"Cannot create new directory.","Neues Verzeichnis kann nicht erstellt werden."
"Cannot delete directory %s.","Verzeichnis %s kann nicht gelöscht werden."
"Cannot delete root directory %s.","Wurzel-Verzeichnis %s kann nicht gelöscht werden."
"Cannot upload file.","Datei kann nicht hochgeladen werden."
"Collapse All","Alles einklappen"
"Content","Inhalt"
"Content Heading","Seiten-Überschrift"
"Content Management","Content Management"
"Contents of a Static Block","Inhalte eines statischen Blocks"
"Create Folder...","Verzeichnis anlegen..."
"Custom Design","Eigene Gestaltung"
"Custom Design From","Eigene Gestaltung von"
"Custom Design To","Eigene Gestaltung bis"
"Custom Layout","Eigener Entwurf"
"Custom Layout Update XML","Eigener Entwurf Update XML"
"Custom Theme","Eigenes Theme"
"Customer Tax Class Information","Kunden Steuerklasse Information"
"Date Created","Angelegt am"
"Delete Block","Block löschen"
"Delete File","Datei löschen"
"Delete Folder","Verzeichnis löschen"
"Delete Page","Seite löschen"
"Description","Beschreibung"
"Design","Gestaltung"
"Disabled","Deaktiviert"
"Disabled Completely","Komplett deaktiviert"
"Disabled by Default","Deaktiviert (voreingestellt)"
"Edit Block","Block bearbeiten"
"Edit Block '%s'","Block '%s' bearbeiten"
"Edit Page","Seite bearbeiten"
"Edit Page '%s'","Seite '%s' bearbeiten"
"Enable WYSIWYG Editor","WYSIWYG-Editor aktivieren"
"Enabled","Aktiviert"
"Enabled by Default","Aktiviert (voreingestellt)"
"Expand All","Alles ausklappen"
"General Information","Allgemeine Information"
"Go to Home Page","Zur Startseite gehen"
"Home","Startseite"
"ID","ID"
"Identifier","Bezeichner"
"If empty, the Page Title will be used","Falls leer, wird der Seitentitel verwendet"
"Images (%s)","Bilder (%s)"
"Insert File","Datei einfügen"
"Invalid folder name. Please, use alphanumeric characters, underscores and dashes.","Ungültiger Verzeichnisname. Bitte verwenden Sie alphanumerische Zeichen, Unterstriche und Bindestriche."
"Keywords","Schlüsselwörter"
"Last Modified","Zuletzt geändert"
"Layout","Layout"
"Layout Update XML","Layout Update XML"
"Link to a CMS Page","Link zu einer CMS-Seite"
"Manage Pages","Seiten verwalten"
"Media Gallery","Bilder Galerie"
"Media Storage","Bilder Speicherort"
"Meta Data","Metadaten"
"Meta Description","Meta-Beschreibung"
"Meta Keywords","Meta-Schlüsselwörter"
"New Block","Neuer Block"
"New Folder Name:","Neuer Verzeichnisname:"
"New Page","Neue Seite"
"No files found","Keine Dateien gefunden"
"Page Information","Seiteninformation"
"Page Layout","Seitenlayout"
"Page Status","Seitenstatus"
"Page Title","Seitentitel"
"Pages","Seiten"
"Product Tax Class Information","Artikelsteuerklasse Information"
"Redirect to CMS-page if Cookies are Disabled","Zur CMS-Seite weiterleiten, wenn Cookies deaktiviert sind."
"Relative to Website Base URL","Relativ zur Webseiten-Basis-URL<br />(z.B.: domain.de/seitenbezeichner)"
"Save Block","Block speichern"
"Save Page","Seite speichern"
"Save Process","Prozess speichern"
"Select Block...","Block wählen..."
"Select Page...","Seite wählen..."
"Show Breadcrumbs for CMS Pages","Brotkrumen-Navigation für CMS-Seiten"
"Show Notice if JavaScript is Disabled","Hinweis zeigen, wenn JavaScript deaktiviert ist"
"Static Blocks","Statische Blöcke"
"Status","Status"
"Storage Root","Hauptverzeichnis des Speichers"
"Store View","Ladenansicht"
"Template","Vorlage"
"The block has been deleted.","Der Block wurde gelöscht."
"The block has been saved.","Der Block wurde gespeichert."
"The directory %s is not writable by server.","Das Verzeichnis %s ist nicht vom Server beschreibbar."
"The page URL key cannot consist only of numbers.","Der Seiten URL-Bezeichner kann nicht nur aus Ziffern bestehen."
"The page URL key contains capital letters or disallowed symbols.","Der URL-Bezeichner dieser Seite enthält Großbuchstaben oder unerlaubte Symbole."
"The page has been deleted.","Die Seite wurde gelöscht."
"The page has been saved.","Die Seite wurde gespeichert."
"The static block content cannot contain  directive with its self.","Der statische Block selbst darf keine Anweisungen enthalten."
"This block no longer exists.","Dieser Block existiert nicht mehr."
"This page no longer exists.","Diese Seite existiert nicht mehr."
"Title","Titel"
"URL Key","URL-Bezeichner"
"Unable to find a block to delete.","Es kann kein Block zum Löschen gefunden werden."
"Unable to find a page to delete.","Es kann keine Seite zum Löschen gefunden werden."
"WYSIWYG Options","WYSIWYG Optionen"
"px.","px."
